GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.service.Services.Universite,UniversiteService,29,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.service.Services.Bloc,BlocService,130,50,9,1,30,9,9,5,4,5
Foyer,tn.esprit.spring.service.Services.Reservation,ReservationService,315,16,18,0,65,2,20,2,10,2
Foyer,tn.esprit.spring.service.Services.Foyer,FoyerService,159,12,12,0,34,1,15,1,9,1
Foyer,tn.esprit.spring.service.Config,SpringDocConfig,0,164,0,0,0,44,0,11,0,11
Foyer,tn.esprit.spring.service.Services.Chambre,ChambreService,385,13,36,0,70,2,38,2,18,2
Foyer,tn.esprit.spring.service.schedular,schedular,0,3,0,0,0,1,0,1,0,1
Foyer,tn.esprit.spring.service.schedular,Test,0,7,0,0,0,2,0,2,0,2
Foyer,tn.esprit.spring.service,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.service.DAO.Entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.service.DAO.Entities,Foyer,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.service.DAO.Entities,Etudiant.EtudiantBuilder,72,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.service.DAO.Entities,Bloc.BlocBuilder,17,37,0,0,0,1,2,6,2,6
Foyer,tn.esprit.spring.service.DAO.Entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.service.DAO.Entities,Chambre,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.service.DAO.Entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.service.DAO.Entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.service.DAO.Entities,Etudiant,82,8,0,0,10,2,16,1,16,1
Foyer,tn.esprit.spring.service.DAO.Entities,Universite,47,3,0,0,7,1,10,1,10,1
Foyer,tn.esprit.spring.service.DAO.Entities,Bloc,49,55,0,4,4,13,8,8,8,6
Foyer,tn.esprit.spring.service.DAO.Entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.service.DAO.Entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.service.Controllers,FoyerRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.service.Controllers,UniversiteRestController,24,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.service.Controllers,EtudiantRestController,24,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.service.Controllers,ChambreRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.service.Controllers,BlocRestController,36,6,0,0,9,1,7,1,7,1
Foyer,tn.esprit.spring.service.Controllers,ReservationRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.service.Services.Etudiant,EtudiantService,30,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.service.AOP,FoyerAspect,29,7,0,0,9,2,3,2,3,2
